month,year,domestic not seasonally adjusted ,domestic combined seasonal trading day factor,domestic seasonally adjusted thousands,domestic seasonally adjusted at annual rates millions,,foreign not seasonally adjusted ,foreign combined seasonal trading day factor,foreign seasonally adjusted thousands,foreign seasonally adjusted at annual rates millions,,,,,,
January,1990,546.8,84.28,648.8,7.786,,196.5,89.52,219.5,2.634,,,,,,
February,1990,533.6,93.06,573.4,6.881,,182.9,84.48,216.5,2.598,,,,,,
March,1990,625.8,109.08,573.7,6.884,,224.5,102.46,219.1,2.629,,,,,,
April,1990,598.8,104.65,572.2,6.866,,203.3,96.08,211.6,2.539,,,,,,
May,1990,644.3,115.53,557.7,6.692,,228.1,112.31,203.1,2.437,,,,,,
June,1990,635.1,112.95,562.3,6.748,,222.2,107.66,206.4,2.477,,,,,,
July,1990,595.8,105.47,564.9,6.779,,207.4,105.28,197.0,2.364,,,,,,
August,1990,571.5,99.72,573.1,6.877,,214.5,111.20,192.9,2.315,,,,,,
September,1990,584.8,94.74,617.3,7.408,,184.2,98.19,187.6,2.251,,,,,,
October,1990,598.1,103.60,577.3,6.928,,189.7,102.21,185.6,2.227,,,,,,
November,1990,485.8,91.56,530.6,6.367,,175.4,94.20,186.2,2.234,,,,,,
December,1990,476.5,87.34,545.6,6.547,,174.6,98.20,177.8,2.134,,,,,,
,,,,,,,,,,,,,,,,
January,1991,421.1,84.49,498.4,5.981,,133.5,90.51,147.5,1.770,,,,,,
February,1991,479.0,93.34,513.2,6.158,,142.5,84.52,168.6,2.023,,,,,,
March,1991,545.0,103.49,526.6,6.319,,185.3,99.46,186.3,2.236,,,,,,
April,1991,510.1,106.94,477.0,5.724,,180.6,101.12,178.6,2.143,,,,,,
May,1991,581.1,114.23,508.7,6.104,,188.4,108.34,173.9,2.087,,,,,,
June,1991,592.7,113.31,523.1,6.277,,179.0,105.11,170.3,2.044,,,,,,
July,1991,585.3,108.67,538.6,6.463,,187.9,107.86,174.2,2.090,,,,,,
August,1991,503.1,97.90,513.9,6.167,,187.3,110.24,169.9,2.039,,,,,,
September,1991,498.2,96.36,517.0,6.204,,173.2,97.91,176.9,2.123,,,,,,
October,1991,526.2,104.90,501.6,6.019,,175.8,103.72,169.5,2.034,,,,,,
November,1991,457.6,88.17,519.0,6.228,,148.9,90.85,163.9,1.967,,,,,,
December,1991,437.5,87.54,499.8,5.998,,155.7,98.23,158.5,1.902,,,,,,
,,,,,,,,,,,,,,,,
January,1992,417.3,82.16,507.9,6.095,,143.2,85.34,167.8,2.014,,,,,,
February,1992,497.1,95.56,520.2,6.242,,154.0,86.66,177.7,2.132,,,,,,
March,1992,541.0,105.31,513.7,6.164,,179.4,106.47,168.5,2.022,,,,,,
April,1992,545.7,109.75,497.2,5.966,,170.1,105.85,160.7,1.928,,,,,,
May,1992,565.1,108.07,522.9,6.275,,168.6,102.87,163.9,1.967,,,,,,
June,1992,635.3,117.11,542.5,6.510,,189.5,109.92,172.4,2.069,,,,,,
July,1992,573.1,107.81,531.6,6.379,,160.5,107.72,149.0,1.788,,,,,,
August,1992,483.0,95.68,504.8,6.058,,161.8,106.52,151.9,1.823,,,,,,
September,1992,515.6,97.82,527.1,6.325,,158.1,101.87,155.2,1.862,,,,,,
October,1992,537.1,100.83,532.7,6.392,,157.4,100.00,157.4,1.889,,,,,,
November,1992,464.7,88.73,523.7,6.284,,136.3,88.16,154.6,1.855,,,,,,
December,1992,501.6,90.82,552.3,6.628,,158.9,100.13,158.7,1.904,,,,,,
,,,,,,,,,,,,,,,,
January,1993,435.8,80.58,540.8,6.490,,126.4,83.32,151.7,1.820,,,,,,
February,1993,466.2,92.76,502.6,6.031,,127.2,85.54,148.7,1.784,,,,,,
March,1993,581.5,110.30,527.2,6.326,,153.6,109.17,140.7,1.688,,,,,,
April,1993,607.1,105.84,573.6,6.883,,161.6,100.56,160.7,1.928,,,,,,
May,1993,639.5,112.23,569.8,6.838,,172.6,106.94,161.4,1.937,,,,,,
